Category,Product Code,Product Description,Sale Price,y/n
VISWAS FROZEN SNACKS,VSBAN,VIS BANANA ROAST 454G X12,34.99,
VISWAS FROZEN SNACKS,VSBANF-M,VIS BANANA FRY 350G X12,23.99,
VISWAS FROZEN SNACKS,VSBANFRY908,VIS BANANA FRY FAMILY 908G X12,58.99,
VISWAS FROZEN SNACKS,VSCUTL,VIS CUTLET VEG 350GX 12 @2.20,26.49,
VISWAS FROZEN SNACKS,VSEL,VIS ELAYADA JACKFRUIT 350G X12,23.99,
VISWAS FROZEN SNACKS,VSELAYJAG,VIS ELAYADA JAGGERY 350G X12,23.99,
VISWAS FROZEN SNACKS,VSHALWAR,VIS HALWA RED 400G X 14,33.46,
VISWAS FROZEN SNACKS,VSJAL,VIS JILEBI 227G X12 @1.99,23.88,
VISWAS FROZEN SNACKS,VSKOZ,VIS KOZHUKKATTA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSKUM,VIS KUMBILAPPAM JACKFRUIT 350g x12,23.88,
VISWAS FROZEN SNACKS,VSKUMBILFA,VIS KUMBILAPPAM JACKFRUIT FAMILY 908 X 12,56.28,
VISWAS FROZEN SNACKS,VSLAD-M,VIS LADDU 350G X12,26.49,
VISWAS FROZEN SNACKS,VSNEY,VIS NEYYAPPAM 350G X12,23.88,
VISWAS FROZEN SNACKS,VSNEYYAP,VIS NEYYAPPAM FAMILY 908G X12,53.88,
VISWAS FROZEN SNACKS,VSPALLA,VIS PALAPAM 250G X10,16.99,
VISWAS FROZEN SNACKS,VSPAR,VIS PARIPPUVADA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSPARIPF12,VIS PARIPPUVADA FAMILY 908G X 12,53.99,
VISWAS FROZEN SNACKS,VSPUTKADW,VIS PUTTU N KADALA CURRY 454 X 10,24.9,
VISWAS FROZEN SNACKS,VSSU,VIS SUKHIYAN 350G X12,23.88,
VISWAS FROZEN SNACKS,VSULLIVADA,VIS ONION VADA 350G X12,23.88,
VISWAS FROZEN SNACKS,VSUNN,VIS UNNIYAPPAM 350G X12,23.88,
VISWAS FROZEN SNACKS,VSUNNIY,VIS UNNIYAPPAM FAMILY 908G X12,53.88,
VISWAS FROZEN SNACKS,VSUZ,VIS UZHUNNUVADA 350G X12,24.99,
VISWAS FROZEN SNACKS,VSUZHUNNUVADARES,VIS RESTAURANT UZHUNNUVADA 908G X 10,44.99,
VISWAS FROZEN SNACKS,VSVATT,VS VATTAYAPPAM 350GM X 12,27.49,
VISWAS FROZEN BREADS & BREAKFA,VSCAT,VIS CATERING WHEAT POROTHA 908G X16,39.84,
VISWAS FROZEN BREADS & BREAKFA,VSIDI,VIS IDIYAPPAM WHITE 454G X12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDIB,VIS IDIAPPAM BROWN 454G X12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDIYAFAM,VIS IDIYAPPAM FAMILY 908G X12,41.88,
VISWAS FROZEN BREADS & BREAKFA,VSIDL908,VIS IDLI 908GM X 12 (BIG),44.29,
VISWAS FROZEN BREADS & BREAKFA,VSIDLY,VIS IDLY WITH CHUTNY 454G X12,24.96,
VISWAS FROZEN BREADS & BREAKFA,VSKOTHURES,VIS KOTHUPOROTTA RESTAURANT 2KG X 6,35.99,
VISWAS FROZEN BREADS & BREAKFA,VSMAFA16,VIS MALABAR POROTTA (FAMILY) 908X 16,43.99,
VISWAS FROZEN BREADS & BREAKFA,VSMAL-M,VIS MALABAR POROTTA 330G X36,34.99,
VISWAS FROZEN BREADS & BREAKFA,VSMASDOSA,VIS MASALA DOSA 400 X 12,23.88,
VISWAS FROZEN BREADS & BREAKFA,VSPATHI300,VIS PATHIRI 300G X 14,26.99,
VISWAS FROZEN BREADS & BREAKFA,VSPATHIRI,VIS PATHIRI 300G x 12,25.99,
VISWAS FROZEN BREADS & BREAKFA,VSRES-M,VIS CATERING POROTTA 908G X 16,43.99,
VISWAS FROZEN BREADS & BREAKFA,VSRES2KG,VIS RESTARANT.POROTTA 2KG X 8,44.8,
VISWAS FROZEN VEG & RAW ITEMS,VSARVI,VIS ARVI 400GM X 12,22.68,
VISWAS FROZEN VEG & RAW ITEMS,VSAVI-M,VIS AVIYAL MIX 400G X12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSBITTE-M,VIS BITTER GOURD CUT 400G X12,22.68,
VISWAS FROZEN VEG & RAW ITEMS,VSCU-M,VIS CUT MANGO GREEN 400G X12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSDRUM,VIS DRUMSTICK 400G X12,23.99,
VISWAS FROZEN VEG & RAW ITEMS,VSGR-M,VIS GRATED COCONUT 400G X32,76.49,
VISWAS FROZEN VEG & RAW ITEMS,VSJACF,VIS JACK FRUIT GREEN 400G X20,53.99,
VISWAS FROZEN VEG & RAW ITEMS,VSJACFR,VIS JACKFRUIT GREEN SLICED 400G X20,54.99,
VISWAS FROZEN VEG & RAW ITEMS,VSJACS,VIS JACKFRUIT SEED 400G X 12,26.28,
VISWAS FROZEN VEG & RAW ITEMS,VSLO,VIS LONG BEANS 400GRM X 12,22.99,
VISWAS FROZEN VEG & RAW ITEMS,VSLON16,VIS LONG CHILLI 200G X 12,11.99,
VISWAS FROZEN VEG & RAW ITEMS,VSOKR-M,VIS OKRA CUT 400G X12,17.99,
VISWAS FROZEN VEG & RAW ITEMS,VSRED-M,VIS RED ONION 400GM X 12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSSA-M,VIS SAMBAR MIX 400G X12,23.88,
VISWAS FROZEN VEG & RAW ITEMS,VSSLI-M,VIS SLICED COCONUT 400G X 12,29.49,
VISWAS FROZEN VEG & RAW ITEMS,VSSNAKEGUA,VIS SNAKE GUARD 400GM X 10,22.68,
VISWAS FROZEN VEG & RAW ITEMS,VSTAP-M,VIS TAPIOCA SLICE 908G X16,34.99,
VISWAS FROZEN VEG & RAW ITEMS,VSTAPW-M,VIS TAPIOCA WHOLE 908X 16,33.99,
VISWAS FROZEN VEG & RAW ITEMS,VSTENJ,VIS TENDER JACKFRUIT 400GRM X 12,24.99,
VISWAS FROZEN VEG & RAW ITEMS,VSTINDORA,VIS TINDORA 400GM X 12,23.99,
VISWAS FROZEN VEG & RAW ITEMS,VSYAMR,VS YAM RATALU 400GM X 12,20.99,
VISWAS FROZEN VEG & RAW ITEMS,VSYAMSURAN,VIS YAM SURAN 400GM X 12,22.68,
VISWAS FROZEN CURRYS & THORAN,VSAVIY,VIS AVIAL CURRY 350G X12PKT,23.88,
VISWAS FROZEN CURRYS & THORAN,VSCHAMAN,VIS CHAKKAKURU MANGO CURRY 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSCHAMEZ,VIS CHAKKAKURU MEZHUKKUPURATTY 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSCHATHORA,VIS CHAKKAKURU THORAN 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSIDDLY,VIS IDICHAKKATHORAN 350 X12,22.69,
VISWAS FROZEN CURRYS & THORAN,VSKOR,VIS KOORKA MEZHUKUVARATTY350GX12,25.08,
VISWAS FROZEN CURRYS & THORAN,VSPAPFRO,VIS GURUVAYUR PAPPADAM (FROZEN) 200X30,44.99,
VISWAS FROZEN CURRYS & THORAN,VSPAPPAYA,VIS PAPPAYA THORAN 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSPAVAKTH,VIS PAVAKKA THORAN 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSPAVATH,VIS PAVAKKA THEEYAL 350G X 12,23.88,
VISWAS FROZEN CURRYS & THORAN,VSVAZH,VIS VAZHACHUNDU THORAN350G X 12,22.69,
,VSSADHYA2,VIS SADHYA 4.75 KG X 2,45.98,
VISWAS SNACKS,VSACHA-M,VS ACHAPPAM 170G X18,34.49,
VISWAS SNACKS,VSANDRA,VS ANDRA MURUKKU 150G X 25,22.25,
VISWAS SNACKS,VSANDRAS,VS ANDRA MURUKKU SPICY 150G X 25,22.25,
VISWAS SNACKS,VSBA-M,VS BANANA CHIPS RIPE LONG 150G X25,31.25,
VISWAS SNACKS,VSBAB,VS BANANA CHIPS BOTTLE 300X15,34.35,
VISWAS SNACKS,VSBANA-M,VS BANANA CHIPS (RIPE) 150G X 30,37.5,
VISWAS SNACKS,VSBANAC-M,VS BANANA CHIPS 400X20,65.8,
VISWAS SNACKS,VSBANAC150,VS BANANA CHIPS 150GM X 30,35.7,
VISWAS SNACKS,VSBANAS,VS BANANA CHIPS SPICY 150X30,37.5,
VISWAS SNACKS,VSBANSPIBTL,VS BANANA CHIPS SPICY BTL 300 X 15,34.35,
VISWAS SNACKS,VSDRYBAN,VS DRIED BANANA TOFFEE 100G X 20,30,
VISWAS SNACKS,VSGARM-M,VS GARLICK MURRUKU 150G X25,22.49,
VISWAS SNACKS,VSGARMURSPI,VS GARLIC MURUKKU SPICY 150G X 25,22.49,
VISWAS SNACKS,VSGIN-M,VS GINGELLY BALL 200G X 30,36.99,
VISWAS SNACKS,VSGINGI,VS GINGELLY BAR CANDY 200G X 30,36.99,
VISWAS SNACKS,VSJAC-M,VS JACK FRUIT CHIPS 150X30 BUY 1 GET 1 FREE,29.99,
VISWAS SNACKS,VSJACKB,VS JACKFRUITCHIPS BOTT 250X15,37.35,
VISWAS SNACKS,VSKE-M,VS KERALA MIXTURE 200G X25,24.99,
VISWAS SNACKS,VSMIXEXTR,VS EXTRA HOT MIXTURE 200 X 25,24.75,
VISWAS SNACKS,VSMIXSPIC,VS SPICY MIXTURE 200 X 25,24.75,
VISWAS SNACKS,VSMUR-SPICY,VS RICE MURUKKU SPICY 150 X 25,29.99,
VISWAS SNACKS,VSMURBABY,VS BABY RICE MURUKKU 150G X 25,22.25,
VISWAS SNACKS,VSMURBABYSP,VS BABY RICE MURUKKU SPICY 150G X 25,22.25,
VISWAS SNACKS,VSMURRICE,VS RICE MURUKKU 150G X 25,22.25,
VISWAS SNACKS,VSMURRISP,VS RICE MURUKKU SPICY 150G X 30,26.99,
VISWAS SNACKS,VSPAKK-M,VS PAKKAVADA 150GX25,19.99,
VISWAS SNACKS,VSPAPP,VS PAPPADA BOLI 160GM X 15,20.99,
VISWAS SNACKS,VSPIN-M,VS PINEAPPLE DROPS 180G X20,25.8,
VISWAS SNACKS,VSTAPCHISP,VS TAPIOCA CHIPS ROUND SPICY150G X25,27.99,
VISWAS SNACKS,VSTAPSTICKP,VS TAPIOCA CHIPS STICK PLAIN 150X25,37.5,
VISWAS POWDERS & FLAKES,VSAVALB,VS AVAL BROWN 400GM x 20,27.8,
VISWAS POWDERS & FLAKES,VSAVALW,VS AVAL WHITE 400GM x 20,27.8,
VISWAS POWDERS & FLAKES,VSDOS-M,VS DOSA PODI 1KG X12 *PRICE MARK*,23.88,
VISWAS POWDERS & FLAKES,VSIDIBR,VS IDIYAPPAM PODI BROWN 1KG X12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSIDIYAP1KG,VS IDIYAPPAM PODI 1KG X 12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSIDL-M,VS IDLY PODI 1KG X12 *PRICE MARK*,23.88,
VISWAS POWDERS & FLAKES,VSINTUP-M,VS INS UPPUMA MIX 1KG X12,28.68,
VISWAS POWDERS & FLAKES,VSMAI-M,VS MAIDA 1KG X12,23.99,
VISWAS POWDERS & FLAKES,VSPALA-M,VS INST PALAPPAM 1KG X12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSPATHRI1KG,VS PATHIRI PODI 1KG X 12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSPUTT-M,VS STEAMED PUTTU PODI WHITE 1KG X12 PM,17.88,
VISWAS POWDERS & FLAKES,VSPUTTC-M,VS PUTTU PODI CHEMBA 1KG X12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSRICEF,VS RICE FLOUR UNROASTED 1KGX12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSRICPO-M,VS RICE FLOUR FRIED 1KG X12 *PRICE MARK*,17.88,
VISWAS POWDERS & FLAKES,VSROS-M,VS ROSTED RAVA 1KG X12,26.28,
VISWAS POWDERS & FLAKES,VSWHEPUT1KG,VS WHEAT PUTTU PODI 1KG X 12 *PRICE MARK*,17.88,
VISWAS MASALAS & SPICES,VSCINNAM,VS CINNAMON STICK 100GM X 24,38.16,
VISWAS MASALAS & SPICES,VSCOR-M,VS CORINDER POWDER 250X24,32.99,
VISWAS MASALAS & SPICES,VSCORI-M,VS CORINDER POWDER 400GM X 24,47.99,
VISWAS MASALAS & SPICES,VSEGG-M,VS EGG MASALA 160G X12,16.99,
VISWAS MASALAS & SPICES,VSFIS-M,VS FISH MASALA 160G X12,16.68,
VISWAS MASALAS & SPICES,VSMEA-M,VS MEAT MASALA 160G X12,16.68,
VISWAS MASALAS & SPICES,VSMUS24,VS MUSTARD WHOLE 200G X24,23.99,
VISWAS MASALAS & SPICES,VSPIC-M,VS PICKLE POWDER 160G X12,16.68,
VISWAS MASALAS & SPICES,VSRAS-M,VS RASAM POWDER 160G X12,16.68,
VISWAS MASALAS & SPICES,VSSM-M,VS SAMBAR POWDER 160G X12,16.68,
VISWAS MASALAS & SPICES,VSVEGMAS,VS VEGETABLE MASALA 160G X12,15.48,
VISWAS PICKLES,VSDATESP,VS DATES PICKLE 400GM X 12,25.68,
VISWAS PICKLES,VSGOOS-M,VS GOOSERRY PICKLE 400G X12,22.49,
VISWAS PICKLES,VSHOT-M,VS HOT & SWEET LIME PICKLE 400G X12,25.68,
VISWAS PICKLES,VSLIM-M,VS LIME RED PICKLE 400G X12,22.49,
VISWAS PICKLES,VSLIME-M,VS LIME WHITE PICKLE 400G X12,22.08,
VISWAS PICKLES,VSMIXVP,VS MIX VEG PICKLE 400G X12,22.08,
VISWAS PICKLES,VSPULIINCHI,VS PULIINCHI PICKLE 400GM X 12,25.68,
VISWAS PICKLES,VSTEN-M,VS TENDER MANGO PICKLE 400G X12,29.88,
VISWAS CAKES,VSDATESC,VIS DATES N' CASHEW CAKE 700GM X 10,49.99,
VISWAS CAKES,VSPLUMCAKE,VIS PLUM CAKE 700GM X10 BOX,44.9,
VISWAS CAKES,VSPLUMCAKE350,VIS PLUM CAKE 350GM X12 BOX NO RETURN,34.68,
ASWAS,ASBANRO454,ASWAS BANANA ROAST 454G X12,33.79,
ASWAS,ASBONDA350,ASWAS BONDA 350G X 12,22.79,
ASWAS,ASCHEERATHO,ASWAS CHEERATHORAN 350 X 12,21.49,
ASWAS,ASCUTLET350,ASWAS CUTLET VEG 350GX 12,25.29,
ASWAS,ASHALWABL,ASWAS HALWA BLACK 400G X 12,27.48,
ASWAS,ASHALWARED,ASWAS HALWA RED 400G X 12,27.48,
ASWAS,ASJILEBI,ASWAS JILEBI 227G X12,22.68,
ASWAS,ASNEYYA350,ASWAS NEYYAPPAM 350G X12,22.68,
ASWAS,ASPAPPAYA,ASWAS PAPPAYA THORAN 350G X 12,22.68,
ASWAS,ASUZHU350,ASWAS UZHUNNUVADA 350G X12,23.79,
ASWAS,ASVAZHACHU,ASWAS VAZHACHUNDU THORAN 350G X 12,21.49,
ASWAS,ANDRM-M,ANDRA MURUKKU 180G X25,17.5,
ASWAS,ASCATPAR,ASWAS CATERING POROTTA 908G X 16,36.64,
ASWAS,ASCHINPO,ASWAS CHINEESE POTATO 400G X12,23.79,
ASWAS,ASIDLICHUSA,ASWAS IDLY WITH CHUTNY & SAMBAR 454G X12,22.68,
ASWAS,ASLONGBE,ASWAS LONG BEANS 400G X 12,21.79,
ASWAS,ASMALFA,ASWAS MALABAR POROTTA FAMILY 908X 16,42.39,
ASWAS,ASRESPAR2,ASWAS RESTARANT POROTTA 2KG X 8 (OFFER @4.99),39.99,
ASWAS,ASSLICOC,ASWAS SLICED COCONUT 400G X 12,28.29,
VISWAS OTHER,PAKKA-M,DD PAKKAVADA 175G X12( BTL),20.28,
VISWAS OTHER,VSCOC,VS COCONUT OIL 500MLX 24,69.49,
VISWAS OTHER,VSJAGG,VS JAGGERY CUBE454G X20,23.99,
VISWAS OTHER,VSJAGPOW,VS JAGGERY POWDER 600G X 20,39.99,
VISWAS OTHER,VSMARAJAG,VS MARAYOOR JAGGERY 908GX10,24.99,
VISWAS OTHER,VSPAPPAD60,VS PAPPADAM 150X60,65.4,
VISWAS OTHER,VSSEM,VS SEMIYA PAYASA MIX 250G X24,35.76,
VISWAS OTHER,VSSOYABIG,VS SOYA CHUNKS BIG 200G X 30,17.99,
VISWAS OTHER,VSSOYANANO,VS SOYA CHUNK NANO 100G X 30,14.99,
VISWAS OTHER,VSVARUCOC,VS COCONUT VARUTHARA PASTE 200 X 14,27.99,
DAILY DELIGHT FROZEN SNACKS,BANR-M,DD BANANA ROAST 454GX12,34.99,
DAILY DELIGHT FROZEN SNACKS,BOND-M,DD BONDA 350G X12,24.99,
DAILY DELIGHT FROZEN SNACKS,CABB,DD CABBAGE VADA 300G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,CUT-M,DD CUTLET VEG 350G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,ELAJA-M,DD ELAYADA JAGGERY 454G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,HAL-M,DD HALVA BLACK 400G X12,29.88,
DAILY DELIGHT FROZEN SNACKS,JAL-M,DD JILEBI RED 227G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,KOZHI-M,DD KOZHIKODAN HALWA 454G X12,35.88,
DAILY DELIGHT FROZEN SNACKS,LADD-M,DD LADDU 350G X12,24.99,
DAILY DELIGHT FROZEN SNACKS,NEYY-M,DD NEYYAPPAM 350G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,PAR-M,DD PARIPPPUVADA 300G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,PUFF-M,DD PUFF VEG 227GM X12,24.99,
DAILY DELIGHT FROZEN SNACKS,SPIN,DD SPINACH VADA 300G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,SUK-M,DD SUKHIYAN 350G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,UNNI-M,DD UNNIYAPPAM 350 G X12,23.88,
DAILY DELIGHT FROZEN SNACKS,UZH-M,DD UZHUNNUVADA 300G X9,17.91,
DAILY DELIGHT FROZEN SNACKS,VATT-M,DD VATTAYAPPAM 300G X12,23.88,
DAILY DELIGHT VEG & RAW FOODS,AVILM-M,DD AVIAL MIX 400G X12,23.88,
DAILY DELIGHT VEG & RAW FOODS,BITTE-M,DD BITTER GOURD CUT 400G X9,20.99,
DAILY DELIGHT VEG & RAW FOODS,CHI-M,DD CHINES POTATO(KOORKA) 400G X12,23.88,
DAILY DELIGHT VEG & RAW FOODS,CUTMA-M,DD CUT MANGO GREEN 400G X12,22.68,
DAILY DELIGHT VEG & RAW FOODS,GRAC-M,DD GRATED COCONUT 400G X32,79.68,
DAILY DELIGHT VEG & RAW FOODS,IDLIDOSABATTER,DD IDLI & DOSA BATTER (FROZEN) 908G x 6,17.99,
DAILY DELIGHT VEG & RAW FOODS,JACKT-M,DD JACKFRUIT TENDER 400G X12,27.48,
DAILY DELIGHT VEG & RAW FOODS,RED-M,DD RED ONION 400GM X12,23.88,
DAILY DELIGHT VEG & RAW FOODS,SAMB-M,DD SAMBAR MIX 400G X12,22.68,
DAILY DELIGHT VEG & RAW FOODS,SLI-M,DD SLICE COCONUT 400G X12,27.99,
DAILY DELIGHT VEG & RAW FOODS,SNAK-M,DD SNAKE GOURD 400G X12,22.68,
DAILY DELIGHT VEG & RAW FOODS,TAPS-M,DD TAPIOCA SLICE 908G X18,40.99,
DAILY DELIGHT VEG & RAW FOODS,TAPW-M,DD TAPIOCA WHOLE 908G X18,39.99,
DAILY DELIGHT VEG & RAW FOODS,YAM-M,DD YAMSURAN 400G X12,22.68,
DAILY DELIGHT VEG & RAW FOODS,YAMRATALU,DD YAM RATALU 400G X12,20.28,
DAILY DELIGHT BREADS & BREAKFA,HOM,DD HOME MADE CHAPPATHI 330G X36,42.99,
DAILY DELIGHT BREADS & BREAKFA,IDIW-M,DD IDIAPPAM WHITE 454GX 12,23.88,
DAILY DELIGHT BREADS & BREAKFA,IDL-M,DD IDLI WITH SAMBAR454G X12,23.88,
DAILY DELIGHT BREADS & BREAKFA,KOTHUP-CH,DD KOTHUPOROTTA CHILLI 400GM X 12,23.88,
DAILY DELIGHT BREADS & BREAKFA,MAL-M,DD MALABAR POROTHA 330G X36,39.6,
DAILY DELIGHT BREADS & BREAKFA,MALF,DD MALABARPOROTTA FAMILY PACK 908GX16 PKT,42.99,
DAILY DELIGHT BREADS & BREAKFA,MAS-M,DD MASALA DOSA 454G X12,24.99,
DAILY DELIGHT BREADS & BREAKFA,PALL-M,DD PALLAPPAM 227GX12,23.88,
DAILY DELIGHT BREADS & BREAKFA,PUTTB-M,DD PUTTU BROWN 350G X12,23.88,
DAILY DELIGHT BREADS & BREAKFA,REST-M,DD REST.POROTTA 454G X36,46.99,
DAILY DELIGHT BREADS & BREAKFA,RESTFAM,DD FAMILY REST. POROTTA (10PS)908GM X 16,43.99,
DAILY DELIGHT BREADS & BREAKFA,RESTI,DD RESTARANT IDIAPPAM 908 X 15,52.35,
DAILY DELIGHT BREADS & BREAKFA,WHE-M,DD WHEAT POROTHA 454G X12,21.48,
DAILY DELIGHT SNACKS,CHILLKARAS,DD CHILLI KARASEVA 250GM X 12,21.48,
DAILY DELIGHT SNACKS,ELLUMURUKKU,DD ELLU MURUKKU 250G x 12,21.48,
DAILY DELIGHT SNACKS,GARLICMURUKKU,DD GARLIC MURUKKU 175G x 12,23.88,
DAILY DELIGHT SNACKS,KERAL-M,DD KERALA MIXTURE 400G X12 BTL,28.68,
DAILY DELIGHT SNACKS,KERALAMI-M,DD KERALA MIXTURE HOT 400G X12 (BTL),28.68,
DAILY DELIGHT SNACKS,KERALAMURUKKU,DD KERALA MURUKKU 250G x 12,23.88,
DAILY DELIGHT CURRYS & THOORAN,CHEE-M,DD CHEERA THORAN 454G X12,23.88,
DAILY DELIGHT CURRYS & THOORAN,FISHC-M,DD FISH CURRY GRAVY MIX 454G X12,23.88,
DAILY DELIGHT CURRYS & THOORAN,ONIT-M,DD ONION THEYAL 350G X12,21.48,
DAILY DELIGHT CURRYS & THOORAN,PACHA-M,DD PACHADI 350G X12,23.88,
DAILY DELIGHT CURRYS & THOORAN,SAM-M,DD SAMBAR CURRY 454GM X12,23.88,
DAILY DELIGHT CURRYS & THOORAN,VART-M,DD VAZACHUNDU THORAN 350G X12,23.88,
DAILY DELIGHT FISH,DRYS-M,PR DRY SHRIMP CLEAN H/L 100G X25,62.25,
DAILY DELIGHT FISH,MAHICURRYCUT,DD MAHI MAHI (PULLI MOTHA) CURRY CUT 700G X 20,85,
DAILY DELIGHT FISH,MARLINCURRYCUT,DAILY DELIGHT MARLIN FISH CURRY CUT 700G x 20,80,
DAILY DELIGHT FISH,TUNACURRYCUT700,DAILY DELIGHT TUNA CURRY CUT 700G x 20,90,
DAILY DELIGHT OTHER,DAI,DAILY DELIGHT DATES AND CASHEW 700G X 12 (CHILLER),59.88,
DAILY DELIGHT OTHER,DAIL,DAILY DELIGHT DATES N CASHEW 300GX24,71.76,
PERIYAR POWDERS & RICE,BANACB,DD BANANA CHIPS BOTTLE 250GM X12,35.88,
PERIYAR POWDERS & RICE,DESICM1K,PR DESICATED COCONUT MEDIUM 500G X12,29.88,
PERIYAR POWDERS & RICE,GREENGRAMPR,PR GREEN GRAM 1KG X 12PKTS,33.48,
PERIYAR POWDERS & RICE,IDIAPB-M,PR IDIAPPAM PODI BROWN 1KG X12,23.88,
PERIYAR POWDERS & RICE,IDIAPW-M,PR IDIAPPAM PODI WHITE 1KGX12,23.88,
PERIYAR POWDERS & RICE,INSDOS-M,PR INS DOSA PODI 1KG X 12,31.08,
PERIYAR POWDERS & RICE,INSIDL-M,PR INS IDLI PODI 1KG X 12,26.28,
PERIYAR POWDERS & RICE,INSSEM-M,PR INS SEMIYA MIX 200G X30,34.49,
PERIYAR POWDERS & RICE,INSUPPU-M,PR INS UPPUMA MIX 1KG X 12,31.08,
PERIYAR POWDERS & RICE,PUTPW-M,PR PUTTU PODI WHITE 1KG X 12,23.88,
PERIYAR POWDERS & RICE,SARKA-M,PR SARKARPURATTI 400GR X12 (BTL),28.68,
PERIYAR POWDERS & RICE,VAL-M,PR VALANPULI 200G X30,21.99,
,DRYSW-M,PR DRY SHRIMP WHOLE 100G X25,37.25,
CRISPY,CRIBIALMO,CRISPY BISCUITS ALMOND 225GM X 12,13.2,
CRISPY,CRIBICOC,CRISPY BISCUITS COCONUT 225GM X 12,13.2,
CRISPY,CRIBIPIS,CRISPY BISCUITS PISTA&ALMOND 225GM X 12,13.2,
CRISPY,CRICAKERU,CRISPY CAKE RUSK 550GM X14 £3.99,42,
CRISPY,CRIGUJRAROT,CRISPY GUJRATI ROTI 500GM X 10,25,
CRISPY,CRIMETHIRO,CRISPY METHI ROTI 500GM X 10,32,
CRISPY,CRIRUMAWEAT,CRISPY RUMALI WHOLE WHEAT ROTI 600GMX10,25,
CRISPY,CRIRUMAWHI,CRISPY RUMALI WHITE ROTI(Plain) 600GM X 10,25,
CRISPY,CRITEARU,CRISPY TOST RUSK REG 200GM(Red) X 18 £1.79,27.3,
CRISPY,CRIWHEATR,CRISPY WHOLE WHEAT ROTIS 500GM X 10 £2.49,19.9,
CRISPY,CRIWHITERO,CRISPY WHITE ROTIS (Original) 500GM X10 £2.49,19.9,
MALABAR CHOICE,MCAC,MC ACHAPPAM 170G X18,33.49,
MALABAR CHOICE,MCACRAGI,MC RAGI ACHAPPAM 170G x 18,39.99,
MALABAR CHOICE,MCAN,MC ANDRA MURUKKU 135GM X25,22.99,
MALABAR CHOICE,MCANDR,MC ANDRA MURUKKU SPICY 135 X25,22.99,
MALABAR CHOICE,MCAVAL,MC AVALOSUNDA 200GX30,36.99,
MALABAR CHOICE,MCBAN-M,MC BANANA CHIPS 150G X30,38.7,
MALABAR CHOICE,MCBANAS-M,MC BANANA CHIPS RIPE150G X30,40.5,
MALABAR CHOICE,MCBANC-M,MC BANANA CHIP SPICED 150G X30,40.5,
MALABAR CHOICE,MCBANPERI150,MC BANANA CHIPS PERI PERI 150 X 30,30.99,
MALABAR CHOICE,MCBANRIPLON20,MC SWEET(RIPE)BANANA CHIPS LG CUT 150 X 20,25.99,
MALABAR CHOICE,MCBANS,MC BANANA CHIPS 375GM X 17,45.99,
MALABAR CHOICE,MCBOMB-M,MC BOMBAY MIXTURE 275G X30,42.99,
MALABAR CHOICE,MCBUTTERMUR,MC BUTTER MURUKKU 150GX25,22.99,
MALABAR CHOICE,MCCHILLIGAR,MC CHILLI GARLIC MURUKKU 150GX22,20.99,
MALABAR CHOICE,MCCHU,MC CHUKKU KAPI (GINGER COFFE) 150G X48,71.52,
MALABAR CHOICE,MCCOCON,MC COCONUT CHUTNEY POWDER 200G X12,22.68,
MALABAR CHOICE,MCCOR,MC CORRIANDER WHOLE 200G X 20,19.75,
MALABAR CHOICE,MCGARMUR,MC GARLIC MURUKKU 150GX22,20.99,
MALABAR CHOICE,MCJACK,MC JACKFRUIT CHIPS PCKT 135G X25,34.75,
MALABAR CHOICE,MCJAGC,MC JAGGERY CUBE WHITE 1KG X12,29.88,
MALABAR CHOICE,MCJAGG-M,MC JAGGERY BALL (BROWN) 1KG X12,29.88,
MALABAR CHOICE,MCJAGGE,MC JAGGERY CUBE (BROWN) 1 KGX12,29.88,
MALABAR CHOICE,MCKUZ,MC KUZHALAPPAM 135GRM X 25,27.99,
MALABAR CHOICE,MCMIXB,MC MIXTURE BALL 135GM X25,22.99,
